IP Start|IP End|AS Type|Country|Country Code|Region|Postal Code|Organization|Time Zone|Full Country Name|Country Code|AS Number
55.71.62.178|112.124.2.138|EU|美国|US|德克萨斯州|75001|AT&T Services Inc.|-0500|美国|US|AS7018
10.188.227.199|10.188.227.199|AS|中国|CN|广东|440000|中国电信|+0800|中国|CN|AS141748
231.134.121.213|231.134.121.213|EU|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
46.123.111.10|46.123.111.10|EU|美国|US|德克萨斯州|75001|AT&T Services Inc.|-0500|美国|US|AS7018
86.43.54.140|212.54.192.50|NA|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
90.131.233.81|161.0.169.20|EU|巴西|BR|帕拉州|66000|Telefonica Brasil S.A|-0300|巴西|BR|AS26599
198.48.196.141|22.108.72.67|EU|美国|US|德克萨斯州|75001|AT&T Services Inc.|-0500|美国|US|AS7018
218.207.240.24|216.212.182.247|NA|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
201.234.43.219|39.238.245.93|NA|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
221.98.61.23|221.98.61.23|AS|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
70.88.57.105|137.33.116.239|AS|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
8.150.172.181|8.150.172.181|EU|中国|CN|广东|440000|中国电信|+0800|中国|CN|AS141748
202.17.33.167|202.17.33.167|NA|瑞典|SE|哈兰省|31000|Telia Network Services|+0200|瑞典|SE|AS3301
251.39.58.136|225.5.127.35|NA|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
124.233.83.63|146.116.17.134|EU|意大利|IT|伦巴第|20100|Fastweb SpA|+0100|意大利|IT|AS12874
100.77.168.196|173.160.217.181|AS|意大利|IT|伦巴第|20100|Fastweb SpA|+0100|意大利|IT|AS12874
103.225.113.237|41.15.31.81|AS|瑞典|SE|哈兰省|31000|Telia Network Services|+0200|瑞典|SE|AS3301
204.80.63.202|204.80.63.202|AS|中国|CN|广东|440000|中国电信|+0800|中国|CN|AS141748
198.42.82.108|151.128.25.27|EU|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
9.52.116.190|212.37.22.205|NA|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
163.223.254.71|46.127.206.232|AS|美国|US|德克萨斯州|75001|AT&T Services Inc.|-0500|美国|US|AS7018
255.53.165.24|113.175.93.237|NA|意大利|IT|伦巴第|20100|Fastweb SpA|+0100|意大利|IT|AS12874
169.238.99.71|169.238.99.71|EU|美国|US|德克萨斯州|75001|AT&T Services Inc.|-0500|美国|US|AS7018
208.214.126.101|208.214.126.101|AS|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
6.194.148.124|6.194.148.124|EU|巴西|BR|帕拉州|66000|Telefonica Brasil S.A|-0300|巴西|BR|AS26599
162.240.222.248|122.63.23.76|NA|中国|CN|广东|440000|中国电信|+0800|中国|CN|AS141748
225.92.30.120|225.92.30.120|AS|瑞典|SE|哈兰省|31000|Telia Network Services|+0200|瑞典|SE|AS3301
127.46.146.216|173.183.204.135|EU|意大利|IT|伦巴第|20100|Fastweb SpA|+0100|意大利|IT|AS12874
235.58.217.174|235.58.217.174|AS|瑞典|SE|哈兰省|31000|Telia Network Services|+0200|瑞典|SE|AS3301
116.70.183.56|102.233.219.49|NA|意大利|IT|伦巴第|20100|Fastweb SpA|+0100|意大利|IT|AS12874
221.137.208.198|2.201.145.76|AS|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
126.55.33.0|126.55.33.0|AS|意大利|IT|伦巴第|20100|Fastweb SpA|+0100|意大利|IT|AS12874
183.69.155.168|93.224.160.112|NA|瑞典|SE|哈兰省|31000|Telia Network Services|+0200|瑞典|SE|AS3301
23.203.27.133|23.203.27.133|NA|中国|CN|广东|440000|中国电信|+0800|中国|CN|AS141748
88.195.55.38|88.195.55.38|NA|瑞典|SE|哈兰省|31000|Telia Network Services|+0200|瑞典|SE|AS3301
137.0.83.56|100.45.191.253|NA|意大利|IT|伦巴第|20100|Fastweb SpA|+0100|意大利|IT|AS12874
177.210.151.138|177.210.151.138|NA|瑞典|SE|哈兰省|31000|Telia Network Services|+0200|瑞典|SE|AS3301
51.57.172.131|56.218.181.65|AS|中国|CN|广东|440000|中国电信|+0800|中国|CN|AS141748
236.62.6.139|236.62.6.139|AS|意大利|IT|伦巴第|20100|Fastweb SpA|+0100|意大利|IT|AS12874
105.88.244.211|180.35.23.140|NA|中国|CN|广东|440000|中国电信|+0800|中国|CN|AS141748
132.173.87.8|132.173.87.8|AS|美国|US|德克萨斯州|75001|AT&T Services Inc.|-0500|美国|US|AS7018
14.47.212.187|111.127.107.124|NA|巴西|BR|帕拉州|66000|Telefonica Brasil S.A|-0300|巴西|BR|AS26599
35.136.198.219|35.136.198.219|NA|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
199.209.134.103|199.209.134.103|EU|美国|US|德克萨斯州|75001|AT&T Services Inc.|-0500|美国|US|AS7018
244.107.136.152|192.50.93.172|NA|巴西|BR|帕拉州|66000|Telefonica Brasil S.A|-0300|巴西|BR|AS26599
52.152.159.245|16.229.89.24|EU|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
44.0.236.2|44.0.236.2|EU|巴西|BR|帕拉州|66000|Telefonica Brasil S.A|-0300|巴西|BR|AS26599
175.221.229.249|77.200.76.133|EU|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
191.130.146.242|74.89.97.162|NA|瑞典|SE|哈兰省|31000|Telia Network Services|+0200|瑞典|SE|AS3301
186.80.202.57|114.109.196.131|AS|瑞典|SE|哈兰省|31000|Telia Network Services|+0200|瑞典|SE|AS3301
212.117.30.185|212.117.30.185|EU|美国|US|德克萨斯州|75001|AT&T Services Inc.|-0500|美国|US|AS7018
250.92.7.162|250.92.7.162|NA|意大利|IT|伦巴第|20100|Fastweb SpA|+0100|意大利|IT|AS12874
26.255.128.175|45.220.161.145|EU|中国|CN|广东|440000|中国电信|+0800|中国|CN|AS141748
6.139.121.164|122.40.179.238|EU|美国|US|德克萨斯州|75001|AT&T Services Inc.|-0500|美国|US|AS7018
132.25.14.146|86.57.70.83|NA|意大利|IT|伦巴第|20100|Fastweb SpA|+0100|意大利|IT|AS12874
174.146.167.113|179.191.158.213|EU|中国|CN|广东|440000|中国电信|+0800|中国|CN|AS141748
64.84.132.46|187.108.194.216|EU|瑞典|SE|哈兰省|31000|Telia Network Services|+0200|瑞典|SE|AS3301
98.2.158.159|193.194.249.221|AS|巴西|BR|帕拉州|66000|Telefonica Brasil S.A|-0300|巴西|BR|AS26599
103.238.9.75|127.36.80.62|NA|美国|US|德克萨斯州|75001|AT&T Services Inc.|-0500|美国|US|AS7018
162.114.169.130|162.114.169.130|EU|意大利|IT|伦巴第|20100|Fastweb SpA|+0100|意大利|IT|AS12874
230.19.39.222|230.19.39.222|EU|巴西|BR|帕拉州|66000|Telefonica Brasil S.A|-0300|巴西|BR|AS26599
153.53.154.184|153.53.154.184|NA|巴西|BR|帕拉州|66000|Telefonica Brasil S.A|-0300|巴西|BR|AS26599
89.242.204.133|89.242.204.133|EU|意大利|IT|伦巴第|20100|Fastweb SpA|+0100|意大利|IT|AS12874
217.149.11.152|169.17.137.7|AS|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
172.51.50.149|161.176.211.240|AS|中国|CN|广东|440000|中国电信|+0800|中国|CN|AS141748
110.65.25.163|55.47.110.40|EU|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
209.125.159.132|199.113.14.122|AS|巴西|BR|帕拉州|66000|Telefonica Brasil S.A|-0300|巴西|BR|AS26599
7.184.186.100|7.184.186.100|NA|意大利|IT|伦巴第|20100|Fastweb SpA|+0100|意大利|IT|AS12874
247.28.84.245|179.60.92.77|EU|巴西|BR|帕拉州|66000|Telefonica Brasil S.A|-0300|巴西|BR|AS26599
165.225.243.178|165.225.243.178|NA|瑞典|SE|哈兰省|31000|Telia Network Services|+0200|瑞典|SE|AS3301
223.244.35.18|62.63.186.199|AS|美国|US|德克萨斯州|75001|AT&T Services Inc.|-0500|美国|US|AS7018
244.207.63.56|244.207.63.56|AS|美国|US|德克萨斯州|75001|AT&T Services Inc.|-0500|美国|US|AS7018
7.37.174.145|7.37.174.145|EU|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
24.95.15.35|242.7.185.243|NA|瑞典|SE|哈兰省|31000|Telia Network Services|+0200|瑞典|SE|AS3301
220.185.252.249|87.164.208.35|AS|中国|CN|广东|440000|中国电信|+0800|中国|CN|AS141748
222.193.186.97|122.159.65.247|AS|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
221.139.233.81|28.235.74.53|AS|中国|CN|广东|440000|中国电信|+0800|中国|CN|AS141748
108.149.198.39|44.132.70.164|AS|意大利|IT|伦巴第|20100|Fastweb SpA|+0100|意大利|IT|AS12874
109.218.188.21|109.218.188.21|EU|意大利|IT|伦巴第|20100|Fastweb SpA|+0100|意大利|IT|AS12874
10.66.87.174|10.66.87.174|EU|巴西|BR|帕拉州|66000|Telefonica Brasil S.A|-0300|巴西|BR|AS26599
81.240.249.8|242.113.11.54|AS|瑞典|SE|哈兰省|31000|Telia Network Services|+0200|瑞典|SE|AS3301
80.129.130.22|80.129.130.22|AS|意大利|IT|伦巴第|20100|Fastweb SpA|+0100|意大利|IT|AS12874
213.181.119.17|213.181.119.17|AS|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
74.234.75.34|74.234.75.34|EU|中国|CN|广东|440000|中国电信|+0800|中国|CN|AS141748
154.9.173.192|154.9.173.192|NA|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
84.15.214.154|23.80.245.186|EU|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
61.200.13.119|61.200.13.119|AS|巴西|BR|帕拉州|66000|Telefonica Brasil S.A|-0300|巴西|BR|AS26599
218.61.173.33|218.61.173.33|EU|美国|US|德克萨斯州|75001|AT&T Services Inc.|-0500|美国|US|AS7018
155.211.24.179|155.211.24.179|NA|美国|US|德克萨斯州|75001|AT&T Services Inc.|-0500|美国|US|AS7018
122.90.218.250|176.239.160.114|EU|巴西|BR|帕拉州|66000|Telefonica Brasil S.A|-0300|巴西|BR|AS26599
31.115.180.71|31.115.180.71|AS|意大利|IT|伦巴第|20100|Fastweb SpA|+0100|意大利|IT|AS12874
128.19.64.209|47.201.81.185|AS|中国|CN|广东|440000|中国电信|+0800|中国|CN|AS141748
194.162.179.82|244.51.37.229|NA|意大利|IT|伦巴第|20100|Fastweb SpA|+0100|意大利|IT|AS12874
138.144.64.253|33.96.177.118|AS|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
4.150.152.137|65.119.44.14|EU|中国|CN|广东|440000|中国电信|+0800|中国|CN|AS141748
97.145.93.131|97.145.93.131|NA|瑞典|SE|哈兰省|31000|Telia Network Services|+0200|瑞典|SE|AS3301
83.190.162.108|83.190.162.108|AS|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
127.39.183.132|110.1.252.77|NA|巴西|BR|帕拉州|66000|Telefonica Brasil S.A|-0300|巴西|BR|AS26599
64.216.128.106|227.5.99.167|NA|巴西|BR|帕拉州|66000|Telefonica Brasil S.A|-0300|巴西|BR|AS26599
244.171.159.104|244.171.159.104|EU|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
46.225.194.167|46.225.194.167|NA|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
35.252.214.139|35.252.214.139|NA|瑞典|SE|哈兰省|31000|Telia Network Services|+0200|瑞典|SE|AS3301
87.205.109.248|235.22.46.32|AS|美国|US|德克萨斯州|75001|AT&T Services Inc.|-0500|美国|US|AS7018
210.68.179.106|234.240.34.80|EU|意大利|IT|伦巴第|20100|Fastweb SpA|+0100|意大利|IT|AS12874
225.102.55.157|225.102.55.157|EU|意大利|IT|伦巴第|20100|Fastweb SpA|+0100|意大利|IT|AS12874
204.100.41.108|204.100.41.108|NA|意大利|IT|伦巴第|20100|Fastweb SpA|+0100|意大利|IT|AS12874
182.27.65.123|182.27.65.123|EU|意大利|IT|伦巴第|20100|Fastweb SpA|+0100|意大利|IT|AS12874
46.135.56.126|225.150.95.202|NA|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
216.132.228.219|216.132.228.219|EU|瑞典|SE|哈兰省|31000|Telia Network Services|+0200|瑞典|SE|AS3301
211.77.3.236|211.77.3.236|NA|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
155.151.202.200|87.251.130.43|EU|美国|US|德克萨斯州|75001|AT&T Services Inc.|-0500|美国|US|AS7018
201.164.7.100|201.164.7.100|NA|巴西|BR|帕拉州|66000|Telefonica Brasil S.A|-0300|巴西|BR|AS26599
98.193.187.241|197.212.38.211|AS|瑞典|SE|哈兰省|31000|Telia Network Services|+0200|瑞典|SE|AS3301
107.117.2.179|107.117.2.179|AS|瑞典|SE|哈兰省|31000|Telia Network Services|+0200|瑞典|SE|AS3301
26.146.137.146|13.69.200.204|AS|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
213.164.22.48|60.114.14.116|AS|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
186.58.89.250|186.58.89.250|AS|中国|CN|广东|440000|中国电信|+0800|中国|CN|AS141748
55.123.109.156|55.123.109.156|NA|意大利|IT|伦巴第|20100|Fastweb SpA|+0100|意大利|IT|AS12874
204.138.201.168|55.255.123.98|AS|巴西|BR|帕拉州|66000|Telefonica Brasil S.A|-0300|巴西|BR|AS26599
3.127.237.40|3.127.237.40|AS|中国|CN|广东|440000|中国电信|+0800|中国|CN|AS141748
112.254.251.75|112.254.251.75|NA|意大利|IT|伦巴第|20100|Fastweb SpA|+0100|意大利|IT|AS12874
92.161.80.9|92.161.80.9|EU|意大利|IT|伦巴第|20100|Fastweb SpA|+0100|意大利|IT|AS12874
116.59.88.236|116.59.88.236|NA|美国|US|德克萨斯州|75001|AT&T Services Inc.|-0500|美国|US|AS7018
97.141.76.159|97.141.76.159|AS|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
25.33.222.43|235.12.108.148|NA|中国|CN|广东|440000|中国电信|+0800|中国|CN|AS141748
36.185.187.120|147.230.77.233|EU|巴西|BR|帕拉州|66000|Telefonica Brasil S.A|-0300|巴西|BR|AS26599
99.168.64.144|214.74.85.119|AS|美国|US|德克萨斯州|75001|AT&T Services Inc.|-0500|美国|US|AS7018
157.37.248.31|203.252.131.123|AS|瑞典|SE|哈兰省|31000|Telia Network Services|+0200|瑞典|SE|AS3301
91.239.178.82|91.239.178.82|EU|中国|CN|广东|440000|中国电信|+0800|中国|CN|AS141748
44.152.54.123|44.152.54.123|EU|中国|CN|广东|440000|中国电信|+0800|中国|CN|AS141748
53.121.180.246|53.121.180.246|AS|巴西|BR|帕拉州|66000|Telefonica Brasil S.A|-0300|巴西|BR|AS26599
2.167.242.193|2.167.242.193|NA|意大利|IT|伦巴第|20100|Fastweb SpA|+0100|意大利|IT|AS12874
47.50.225.122|223.119.76.83|NA|意大利|IT|伦巴第|20100|Fastweb SpA|+0100|意大利|IT|AS12874
165.145.156.61|165.145.156.61|EU|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
203.98.239.200|203.98.239.200|AS|中国|CN|广东|440000|中国电信|+0800|中国|CN|AS141748
252.180.100.115|252.180.100.115|NA|中国|CN|广东|440000|中国电信|+0800|中国|CN|AS141748
74.123.233.194|152.227.209.202|EU|中国|CN|广东|440000|中国电信|+0800|中国|CN|AS141748
158.219.210.10|158.219.210.10|EU|美国|US|德克萨斯州|75001|AT&T Services Inc.|-0500|美国|US|AS7018
154.116.90.169|154.116.90.169|EU|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
172.77.126.167|172.77.126.167|EU|瑞典|SE|哈兰省|31000|Telia Network Services|+0200|瑞典|SE|AS3301
169.97.4.131|143.242.93.145|EU|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
62.106.14.110|62.106.14.110|EU|巴西|BR|帕拉州|66000|Telefonica Brasil S.A|-0300|巴西|BR|AS26599
194.199.26.195|158.171.28.98|AS|瑞典|SE|哈兰省|31000|Telia Network Services|+0200|瑞典|SE|AS3301
86.27.138.68|19.192.246.208|AS|中国|CN|广东|440000|中国电信|+0800|中国|CN|AS141748
110.222.187.87|31.183.175.112|NA|意大利|IT|伦巴第|20100|Fastweb SpA|+0100|意大利|IT|AS12874
41.114.147.155|87.220.142.215|NA|美国|US|德克萨斯州|75001|AT&T Services Inc.|-0500|美国|US|AS7018
21.48.20.104|21.48.20.104|EU|瑞典|SE|哈兰省|31000|Telia Network Services|+0200|瑞典|SE|AS3301
52.237.243.61|5.245.143.79|EU|中国|CN|广东|440000|中国电信|+0800|中国|CN|AS141748
29.62.201.91|76.4.237.107|AS|美国|US|德克萨斯州|75001|AT&T Services Inc.|-0500|美国|US|AS7018
243.156.167.174|46.243.103.48|EU|美国|US|德克萨斯州|75001|AT&T Services Inc.|-0500|美国|US|AS7018
254.27.172.212|95.85.87.206|NA|意大利|IT|伦巴第|20100|Fastweb SpA|+0100|意大利|IT|AS12874
74.240.108.240|74.240.108.240|NA|巴西|BR|帕拉州|66000|Telefonica Brasil S.A|-0300|巴西|BR|AS26599
128.19.27.223|227.152.161.114|AS|意大利|IT|伦巴第|20100|Fastweb SpA|+0100|意大利|IT|AS12874
153.38.195.109|153.38.195.109|NA|意大利|IT|伦巴第|20100|Fastweb SpA|+0100|意大利|IT|AS12874
174.61.142.183|174.61.142.183|AS|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
160.96.102.47|160.96.102.47|AS|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
194.72.217.237|194.72.217.237|AS|巴西|BR|帕拉州|66000|Telefonica Brasil S.A|-0300|巴西|BR|AS26599
114.132.74.240|247.255.54.126|NA|巴西|BR|帕拉州|66000|Telefonica Brasil S.A|-0300|巴西|BR|AS26599
2.215.53.92|142.201.117.98|EU|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
75.76.230.149|75.76.230.149|EU|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
175.132.181.247|144.155.111.75|NA|意大利|IT|伦巴第|20100|Fastweb SpA|+0100|意大利|IT|AS12874
181.23.191.180|40.27.168.74|NA|美国|US|德克萨斯州|75001|AT&T Services Inc.|-0500|美国|US|AS7018
5.103.99.164|187.121.52.11|AS|瑞典|SE|哈兰省|31000|Telia Network Services|+0200|瑞典|SE|AS3301
123.60.168.207|198.154.20.204|AS|瑞典|SE|哈兰省|31000|Telia Network Services|+0200|瑞典|SE|AS3301
112.197.106.127|63.49.101.70|AS|巴西|BR|帕拉州|66000|Telefonica Brasil S.A|-0300|巴西|BR|AS26599
244.160.107.245|107.187.92.106|EU|巴西|BR|帕拉州|66000|Telefonica Brasil S.A|-0300|巴西|BR|AS26599
33.220.130.111|66.133.222.66|NA|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
96.185.198.122|171.157.230.52|NA|美国|US|德克萨斯州|75001|AT&T Services Inc.|-0500|美国|US|AS7018
81.18.218.18|81.18.218.18|EU|巴西|BR|帕拉州|66000|Telefonica Brasil S.A|-0300|巴西|BR|AS26599
44.13.96.206|82.65.134.158|AS|意大利|IT|伦巴第|20100|Fastweb SpA|+0100|意大利|IT|AS12874
210.12.241.41|185.181.197.164|NA|意大利|IT|伦巴第|20100|Fastweb SpA|+0100|意大利|IT|AS12874
252.246.79.240|252.246.79.240|EU|巴西|BR|帕拉州|66000|Telefonica Brasil S.A|-0300|巴西|BR|AS26599
117.155.158.82|191.170.192.26|NA|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
37.59.46.110|37.59.46.110|EU|中国|CN|广东|440000|中国电信|+0800|中国|CN|AS141748
35.137.232.71|35.137.232.71|EU|中国|CN|广东|440000|中国电信|+0800|中国|CN|AS141748
192.253.18.77|192.253.18.77|EU|巴西|BR|帕拉州|66000|Telefonica Brasil S.A|-0300|巴西|BR|AS26599
61.25.204.172|126.165.96.113|NA|美国|US|德克萨斯州|75001|AT&T Services Inc.|-0500|美国|US|AS7018
124.234.141.135|124.234.141.135|EU|美国|US|德克萨斯州|75001|AT&T Services Inc.|-0500|美国|US|AS7018
174.230.80.121|174.230.80.121|AS|瑞典|SE|哈兰省|31000|Telia Network Services|+0200|瑞典|SE|AS3301
200.165.103.18|200.165.103.18|EU|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
158.132.54.190|158.132.54.190|AS|中国|CN|广东|440000|中国电信|+0800|中国|CN|AS141748
17.90.58.204|17.90.58.204|EU|瑞典|SE|哈兰省|31000|Telia Network Services|+0200|瑞典|SE|AS3301
239.242.103.115|45.211.167.18|AS|瑞典|SE|哈兰省|31000|Telia Network Services|+0200|瑞典|SE|AS3301
188.253.79.220|45.246.118.157|AS|意大利|IT|伦巴第|20100|Fastweb SpA|+0100|意大利|IT|AS12874
60.135.234.175|60.135.234.175|EU|瑞典|SE|哈兰省|31000|Telia Network Services|+0200|瑞典|SE|AS3301
199.44.18.122|118.226.131.243|EU|越南|VN|北宁省|16000|FPT Telecom|+0700|越南|VN|AS18403
242.194.145.172|242.194.145.172|NA|中国|CN|广东|440000|中国电信|+0800|中国|CN|AS141748
12.254.107.51|191.7.16.177|AS|中国|CN|广东|440000|中国电信|+0800|中国|CN|AS141748
